likes,sport,followers,statuses_count,text_stemmed,text_lemmatized,text_string
3,soccer,1178,2374,"['today', 'game', 'barb', 'defens', 'game', 'word']","['today', 'game', 'barb', 'defense', 'game', 'word']",today  game  barb  defense  game  word
0,soccer,2267,14601,"['biggest', 'workout', 'today', 'put', 'son', 'soccer', 'sock']","['biggest', 'workout', 'today', 'putting', 'son', 'soccer', 'sock']",biggest  workout  today  putting  son  soccer  sock
0,soccer,328,84,"['win', 'weekend', 'congratul', 'around', 'lion', 'den', 'lion', 'domin', 'weekend', 'long', 'everi', 'sport', 'activ', 'level', 'band', 'track', 'soccer', 'footbal', 'team', 'triumph', 'weekend', 'long', 'proud', 'hard', 'work', 'amp', 'dedic']","['winning', 'weekend', 'congratulation', 'around', 'lion', 'den', 'lion', 'dominated', 'weekend', 'long', 'every', 'sport', 'activity', 'level', 'band', 'track', 'soccer', 'football', 'team', 'triumphed', 'weekend', 'long', 'proud', 'hard', 'work', 'amp', 'dedication']",winning  weekend  congratulation  around  lion  den  lion  dominated  weekend  long  every  sport  activity  level  band  track  soccer  football  team  triumphed  weekend  long  proud  hard  work  amp  dedication
0,soccer,2158,9629,"['extend', 'win', 'streak']","['extended', 'win', 'streak']",extended  win  streak
0,soccer,10272,23486,"['final', 'soccer', 'leagu', 'play', 'goal', 'second', 'left', 'stun', 'southeastern', 'incred', 'game']","['final', 'soccer', 'league', 'play', 'goal', 'second', 'left', 'stuns', 'southeastern', 'incredible', 'game']",final  soccer  league  play  goal  second  left  stuns  southeastern  incredible  game
5,soccer,80,144,"['mo', 'full', 'extens', 'layout', 'amp', 'soccer', 'park']","['mo', 'full', 'extension', 'layout', 'amp', 'soccer', 'park']",mo  full  extension  layout  amp  soccer  park
0,soccer,5097,40994,"['boy', 'soccer', 'tournament', 'divis', 'district', 'host', 'soccer', 'quarterfin', 'soccer', 'vs', 'vs', 'gr', 'union', 'vs', 'vs']","['boy', 'soccer', 'tournament', 'division', 'district', 'host', 'soccer', 'quarterfinal', 'soccer', 'v', 'v', 'gr', 'union', 'v', 'v']",boy  soccer  tournament  division  district  host  soccer  quarterfinal  soccer  v  v  gr  union  v  v
0,soccer,0,20,"['agre', 'season', 'much', 'fun', 'stay', 'make', 'get', 'shot', 'care', 'get', 'kill', 'soccer', 'skin', 'sweat']","['agree', 'season', 'much', 'fun', 'staying', 'making', 'get', 'shot', 'care', 'getting', 'killed', 'soccer', 'skin', 'sweat']",agree  season  much  fun  staying  making  get  shot  care  getting  killed  soccer  skin  sweat
0,soccer,276,19073,"['stuff', 'stori', 'appli', 'soccer', 'stabil', 'vs', 'boredom', 'system', 'vs', 'player', 'make', 'glad', 'pay', 'athlet', 'subscript']","['stuff', 'story', 'applies', 'soccer', 'stability', 'v', 'boredom', 'system', 'v', 'player', 'make', 'glad', 'paying', 'athletic', 'subscription']",stuff  story  applies  soccer  stability  v  boredom  system  v  player  make  glad  paying  athletic  subscription
2,soccer,569,775,"['girl', 'soccer', 'action', 'photo', 'post', 'free', 'download']","['girl', 'soccer', 'action', 'photo', 'posted', 'free', 'downloads']",girl  soccer  action  photo  posted  free  downloads
0,soccer,145,1580,"['soccer', 'consid', 'slur', 'footbal', 'fan']","['soccer', 'considered', 'slur', 'football', 'fan']",soccer  considered  slur  football  fan
0,soccer,292,957,"['resum', 'today', 'excit', 'show', 'new', 'uniform']","['resumed', 'today', 'excited', 'show', 'new', 'uniform']",resumed  today  excited  show  new  uniform
20,soccer,4221,6356,"['one', 'year', 'ago', 'today', 'soccer', 'histori', 'announc', 'new', 'name', 'crest', 'world', 'new', 'chapter', 'support', 'cultur', 'born', 'local', 'across', 'leagu', 'what', 'favorit', 'memori', 'past', 'year']","['one', 'year', 'ago', 'today', 'soccer', 'history', 'announced', 'new', 'name', 'crest', 'world', 'new', 'chapter', 'supporter', 'culture', 'born', 'locally', 'across', 'league', 'whats', 'favorite', 'memory', 'past', 'year']",one  year  ago  today  soccer  history  announced  new  name  crest  world  new  chapter  supporter  culture  born  locally  across  league  whats  favorite  memory  past  year
204,soccer,285141,238928,"['citi', 'reach', 'unparallel', 'height', 'eight', 'year', 'run', 'grassroot', 'soccer', 'organ', 'myriad', 'achiev', 'larg', 'attain', 'men', 'team', 'women', 'turn']","['city', 'reached', 'unparalleled', 'height', 'eight', 'year', 'run', 'grassroots', 'soccer', 'organization', 'myriad', 'achievement', 'largely', 'attained', 'men', 'team', 'woman', 'turn']",city  reached  unparalleled  height  eight  year  run  grassroots  soccer  organization  myriad  achievement  largely  attained  men  team  woman  turn
29,soccer,872,2289,"['check', 'former', 'defend', 'call', 'repres', 'new', 'republ', 'soccer', 'team', 'ahead', 'women', 'qualifi', 'read']","['check', 'former', 'defender', 'called', 'represent', 'new', 'republic', 'soccer', 'team', 'ahead', 'woman', 'qualifier', 'read']",check  former  defender  called  represent  new  republic  soccer  team  ahead  woman  qualifier  read
0,soccer,335,727,"['play', 'soccer', 'game', 'might', 'pull']","['playing', 'soccer', 'game', 'might', 'pull']",playing  soccer  game  might  pull
38,soccer,5687,49452,"['week', 'see', 'us', 'humbl', 'begin', 'seri', 'intern', 'soccer', 'game', 'blew', 'away', 'kid', 'simul', 'approach', 'fluid', 'anim', 'stadium', 'sound', 'without']","['week', 'see', 'u', 'humble', 'beginning', 'series', 'international', 'soccer', 'game', 'blew', 'away', 'kid', 'simulation', 'approach', 'fluid', 'animation', 'stadium', 'sound', 'without']",week  see  u  humble  beginning  series  international  soccer  game  blew  away  kid  simulation  approach  fluid  animation  stadium  sound  without
13,soccer,2442,64906,"['suppos', 'grow', 'game', 'amp', 'make', 'nation', 'team', 'competit', 'cosmo', 'histor', 'success', 'soccer', 'entiti', 'histori', 'countri', 'complicit', 'help', 'pull', 'hit', 'job', 'opposit', 'grow', 'game']","['supposed', 'growing', 'game', 'amp', 'making', 'national', 'team', 'competitive', 'cosmos', 'historic', 'successful', 'soccer', 'entity', 'history', 'country', 'complicit', 'helping', 'pull', 'hit', 'job', 'opposite', 'growing', 'game']",supposed  growing  game  amp  making  national  team  competitive  cosmos  historic  successful  soccer  entity  history  country  complicit  helping  pull  hit  job  opposite  growing  game
0,soccer,125,1171,"['soccer', 'fond', 'lac', 'final']","['soccer', 'fond', 'lac', 'final']",soccer  fond  lac  final
0,soccer,135,200,"['last', 'game', 'day', 'soccer', 'take', 'boy', 'action', 'still', 'good', 'weather']","['last', 'game', 'day', 'soccer', 'take', 'boy', 'action', 'still', 'good', 'weather']",last  game  day  soccer  take  boy  action  still  good  weather
0,soccer,1850,4645,"['result', 'want', 'lot', 'good', 'thing', 'today', 'recap', 'final', 'thought']","['result', 'wanted', 'lot', 'good', 'thing', 'today', 'recap', 'final', 'thought']",result  wanted  lot  good  thing  today  recap  final  thought
0,soccer,5000,8742,"['hand', 'home', 'setback']","['hand', 'home', 'setback']",hand  home  setback
4,soccer,1461,2085,"['take', 'look', 'today', 'red', 'wolv', 'take', 'state', 'state', 'soccer', 'park']","['take', 'look', 'today', 'red', 'wolf', 'take', 'state', 'state', 'soccer', 'park']",take  look  today  red  wolf  take  state  state  soccer  park
284,soccer,42278,26201,"['soccer', 'player', 'throw', 'head', 'back', 'fake', 'contact', 'someon', 'stop', 'mad']","['soccer', 'player', 'throwing', 'head', 'back', 'faking', 'contact', 'someone', 'stop', 'madness']",soccer  player  throwing  head  back  faking  contact  someone  stop  madness
63,soccer,5958,6304,"['rememb', 'giveaway', 'end', 'tomorrow', 'like', 'make', 'sure', 'follow', 'us', 'chanc', 'win', 'elit', 'level', 'pair', 'boot', 'courtesi', 'friend', 'soccer', 'happi']","['remember', 'giveaway', 'end', 'tomorrow', 'like', 'make', 'sure', 'follow', 'u', 'chance', 'winning', 'elite', 'level', 'pair', 'boot', 'courtesy', 'friend', 'soccer', 'happy']",remember  giveaway  end  tomorrow  like  make  sure  follow  u  chance  winning  elite  level  pair  boot  courtesy  friend  soccer  happy
12,soccer,1296,6035,"['women', 'soccer', 'claim', 'third', 'win', 'row', 'convinc', 'fashion']","['woman', 'soccer', 'claim', 'third', 'win', 'row', 'convincing', 'fashion']",woman  soccer  claim  third  win  row  convincing  fashion
307,soccer,165,2614,"['repres', 'soccer', 'samba']","['represents', 'soccer', 'samba']",represents  soccer  samba
2,soccer,586,980,"['soccer', 'thank', 'staff', 'us', 'appreci', 'hospit', 'class', 'move', 'captain', 'gift', 'bag', 'best', 'see', 'week']","['soccer', 'thank', 'staff', 'u', 'appreciate', 'hospitality', 'class', 'move', 'captain', 'gift', 'bag', 'best', 'see', 'week']",soccer  thank  staff  u  appreciate  hospitality  class  move  captain  gift  bag  best  see  week
6103,soccer,39427865,13726,['happen'],['happening'],happening
0,soccer,377,8085,"['team', 'home', 'pirat', 'sport']","['team', 'home', 'pirate', 'sport']",team  home  pirate  sport
0,soccer,189,234,"['four', 'high', 'school', 'soccer', 'game', 'left']","['four', 'high', 'school', 'soccer', 'game', 'left']",four  high  school  soccer  game  left
1,soccer,1050,2635,"['soccer', 'surviv', 'physic', 'match']","['soccer', 'survives', 'physical', 'match']",soccer  survives  physical  match
10,soccer,1368,1332,"['men', 'reserv', 'squad', 'vs', 'spur', 'soccer', 'field', 'pm']","['men', 'reserve', 'squad', 'v', 'spur', 'soccer', 'field', 'pm']",men  reserve  squad  v  spur  soccer  field  pm
0,soccer,1577,11686,"['realli', 'wish', 'channel', 'decid', 'sport', 'mani', 'channel', 'chang', 'soccer', 'footbal', 'imposs', 'keep']","['really', 'wish', 'channel', 'decide', 'sport', 'many', 'channel', 'change', 'soccer', 'football', 'impossible', 'keep']",really  wish  channel  decide  sport  many  channel  change  soccer  football  impossible  keep
7,soccer,2825,36284,"['window', 'open', 'volleybal', 'soccer', 'coach', 'enter', 'record', 'comment', 'window', 'open', 'pm']","['window', 'open', 'volleyball', 'soccer', 'coach', 'enter', 'record', 'comment', 'window', 'open', 'pm']",window  open  volleyball  soccer  coach  enter  record  comment  window  open  pm
2,soccer,771,3416,"['that', 'chant', 'realli', 'invest', 'decent', 'infrastructur', 'injur', 'player', 'carri', 'field', 'never', 'meant', 'soccer', 'stretcher', 'look', 'stabl', 'cardboard']","['thats', 'chant', 'really', 'investment', 'decent', 'infrastructure', 'injured', 'player', 'carried', 'field', 'never', 'meant', 'soccer', 'stretcher', 'look', 'stable', 'cardboard']",thats  chant  really  investment  decent  infrastructure  injured  player  carried  field  never  meant  soccer  stretcher  look  stable  cardboard
0,soccer,374,10596,"['lack', 'play', 'frustrat']","['lack', 'play', 'frustrating']",lack  play  frustrating
0,soccer,685,4645,"['rebel', 'half', 'vs', 'blazer', 'soccer']","['rebel', 'half', 'v', 'blazer', 'soccer']",rebel  half  v  blazer  soccer
